Time;SiteName;ParcelName;PointID;GreenCanopyCover [%];GDD [°C];X;Y;Phenology [BBCH];GLAI [m2/m2];DryBiomass [kg/ha];DAS [d]
17.03.2022 10:34;Arenenberg;Broatefaeld;1;15.19816834;694.5;2722461.944;1280863.798;23;0.447264266;585.4166667;153
28.03.2022 09:07;Arenenberg;Broatefaeld;1;17.47474827;802.1;2722469.375;1280878.024;23;0.331586311;496.1538462;164
03.04.2022 13:18;Arenenberg;Broatefaeld;1;26.17957347;838.1;2722468.544;1280879.503;24;;;170
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
11.05.2022 09:48;Arenenberg;Broatefaeld;1;76.00269082;1287.6;2722467.876;1280869.547;32;2.77;4500;208
19.05.2022 13:14;Arenenberg;Broatefaeld;1;72.73177159;1447.6;2722465.53;1280879.096;39;3.67;13261.53846;216
15.06.2022 11:45;Arenenberg;Broatefaeld;1;74.51196992;1926.4;2722469.744;1280874.783;71;3.78;;243
17.03.2022 11:09;Arenenberg;Broatefaeld;3;17.53935009;694.5;2722406.844;1280892.605;23;0.755873;481.25;153
28.03.2022 09:22;Arenenberg;Broatefaeld;3;19.28775615;802.1;2722417.125;1280895.452;23;0.456178969;411.5384615;164
03.04.2022 13:44;Arenenberg;Broatefaeld;3;22.10637473;838.1;2722421.031;1280899.593;25;;;170
03.04.2022 14:06;Arenenberg;Broatefaeld;3;19.98616913;838.1;2722421.255;1280899.747;25;;;170
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
11.05.2022 09:58;Arenenberg;Broatefaeld;3;72.53583743;1287.6;2722416.454;1280894.399;33;2.8;3278.571429;208
19.05.2022 13:20;Arenenberg;Broatefaeld;3;64.23289609;1447.6;2722412.512;1280891.669;39;3.54;5923.076923;216
15.06.2022 11:59;Arenenberg;Broatefaeld;3;66.92960135;1926.4;2722413.074;1280899.777;75;3.82;;243
17.03.2022 11:38;Arenenberg;Broatefaeld;0;12.44128192;694.5;2722362.125;1280921.88;23;0.583935938;352.0833333;153
28.03.2022 10:04;Arenenberg;Broatefaeld;0;30.30520467;802.1;2722361.108;1280926.277;23;0.870146324;469.2307692;164
03.04.2022 14:16;Arenenberg;Broatefaeld;0;20.79632292;838.1;2722366.275;1280930.375;25;;;170
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
11.05.2022 10:04;Arenenberg;Broatefaeld;0;80.87254277;1287.6;2722359.312;1280929.703;33;2.99;3535.714286;208
19.05.2022 13:25;Arenenberg;Broatefaeld;0;70.67749275;1447.6;2722359.587;1280927.961;39;3.6;6046.153846;216
15.06.2022 12:03;Arenenberg;Broatefaeld;0;66.65496198;1926.4;2722356.84;1280927.755;75;3.95;14457.14286;243
28.03.2022 09:44;Arenenberg;Broatefaeld;2;21.21347184;802.1;2722368.393;1280896.598;22;0.521929891;476.9230769;164
03.04.2022 14:38;Arenenberg;Broatefaeld;2;21.02563175;838.1;2722363.34;1280898.544;26;;;170
11.05.2022 10:11;Arenenberg;Broatefaeld;2;80.416418;1287.6;2722367.909;1280898.075;33;2.85;4142.857143;208
11.05.2022 10:11;Arenenberg;Broatefaeld;2;80.416418;1287.6;2722367.909;1280898.075;33;2.85;4142.857143;208
