Time;SiteName;ParcelName;point_id;GreenCanopyCover [%];X;Y;Phenology [BBCH];date_date;GLAI [m2/m2];DryBiomass [kg/ha];days_after_sowing;GDD [°C]
01.03.23 14:56;Strickhof;Hohrueti 2;3;53.12689636;2693712.544;1255236.648;25;01.03.23;;0.147053846;134;704.3
01.03.23 15:41;Strickhof;Hohrueti 2;2;48.96527828;2693690.743;1255278.88;25;01.03.23;;0.180515385;134;704.3
15.03.23 14:07;Strickhof;Hohrueti 2;3;71.66047901;2693716.999;1255230.013;29;15.03.23;;0.170515385;148;772.6
15.03.23 14:26;Strickhof;Hohrueti 2;2;43.92567701;2693689.887;1255273.022;29;15.03.23;;0.171284615;148;772.6
15.03.23 14:43;Strickhof;Hohrueti 2;4;76.54692096;2693688.862;1255299.392;29;15.03.23;1.562596228;0.146284615;148;772.6
15.03.23 15:08;Strickhof;Hohrueti 2;1;44.06402337;2693690.841;1255324.99;29;15.03.23;1.720866687;0.168207692;148;772.6
22.03.23 14:06;Strickhof;Hohrueti 2;3;76.10569707;2693719.326;1255232.841;32;22.03.23;;0.182207692;155;838.1
22.03.23 14:24;Strickhof;Hohrueti 2;2;76.7892971;2693692.673;1255282.75;32;22.03.23;1.252163403;0.122497436;155;838.1
22.03.23 14:44;Strickhof;Hohrueti 2;4;78.83022607;2693692.498;1255300.205;32;22.03.23;;0.123164103;155;838.1
22.03.23 15:00;Strickhof;Hohrueti 2;1;79.79509644;2693687.351;1255319.342;31;22.03.23;;0.192976923;155;838.1
29.03.23 13:10;Strickhof;Hohrueti 2;3;37.25519377;2693714.289;1255239.458;33;29.03.23;1.329712943;0.1624;162;895.1
29.03.23 13:24;Strickhof;Hohrueti 2;2;74.31302797;2693692.255;1255275.213;33;29.03.23;;0.262476923;162;895.1
29.03.23 13:37;Strickhof;Hohrueti 2;4;58.22866306;2693685.651;1255299.318;33;29.03.23;1.458412494;0.160784615;162;895.1
29.03.23 13:48;Strickhof;Hohrueti 2;1;58.90394297;2693689.788;1255318.025;32;29.03.23;1.949224389;0.202823077;162;895.1
05.04.23 13:20;Strickhof;Hohrueti 2;3;77.19022021;2693713.061;1255236.321;32;05.04.23;;0.193657143;169;941.8
05.04.23 13:33;Strickhof;Hohrueti 2;2;85.21847823;2693691.178;1255275.773;31;05.04.23;2.71389979;0.1974;169;941.8
05.04.23 13:46;Strickhof;Hohrueti 2;4;82.81531314;2693692.073;1255299.49;31;05.04.23;3.371325508;0.182553846;169;941.8
05.04.23 14:00;Strickhof;Hohrueti 2;1;79.47985488;2693690.473;1255314.275;31;05.04.23;2.04099276;0.1279;169;941.8
19.04.23 14:32;Strickhof;Hohrueti 2;3;45.89578134;2693714.156;1255237.079;32;19.04.23;3.828413983;0.335092308;183;1048.3
19.04.23 14:42;Strickhof;Hohrueti 2;2;39.07572428;2693692.754;1255270.49;32;19.04.23;;0.347246154;183;1048.3
19.04.23 14:54;Strickhof;Hohrueti 2;4;37.05055645;2693686.957;1255296.72;32;19.04.23;3.352282984;0.259433333;183;1048.3
19.04.23 15:04;Strickhof;Hohrueti 2;1;33.32063651;2693687.106;1255311.7;32;19.04.23;2.262883117;0.173361538;183;1048.3
26.04.23 14:23;Strickhof;Hohrueti 2;3;33.54616518;2693709.803;1255234.424;33;26.04.23;3.766940702;0.284092308;190;1107.4
26.04.23 14:32;Strickhof;Hohrueti 2;2;47.50099339;2693693.476;1255274.393;33;26.04.23;4.332723984;0.363630769;190;1107.4
26.04.23 14:41;Strickhof;Hohrueti 2;4;39.63702167;2693685.028;1255296.764;33;26.04.23;3.879635492;0.303169231;190;1107.4
26.04.23 14:48;Strickhof;Hohrueti 2;1;53.67850472;2693688.319;1255313.346;33;26.04.23;2.353541892;0.228130769;190;1107.4
03.05.23 08:35;Strickhof;Hohrueti 2;3;68.83789816;2693717.881;1255236.248;33;03.05.23;4.703333333;0.595033333;197;1192.8
03.05.23 08:53;Strickhof;Hohrueti 2;2;78.6493686;2693694.023;1255275.38;33;03.05.23;4.696666667;0.5208;197;1192.8
03.05.23 09:10;Strickhof;Hohrueti 2;4;75.82488511;2693688.683;1255300.312;33;03.05.23;3.78;0.288876923;197;1192.8
03.05.23 09:21;Strickhof;Hohrueti 2;1;74.37824516;2693689.094;1255313.526;33;03.05.23;3.546666667;0.306415385;197;1192.8
10.05.23 12:51;Strickhof;Hohrueti 2;3;82.50341219;2693715.851;1255234.655;34;10.05.23;5.46;0.652814286;204;1295.2
10.05.23 13:05;Strickhof;Hohrueti 2;2;47.54504294;2693693.484;1255277.091;34;10.05.23;4.973333333;0.687338462;204;1295.2
10.05.23 13:20;Strickhof;Hohrueti 2;4;49.7622643;2693692.625;1255298.557;33;10.05.23;4.903333333;0.3848;204;1295.2
10.05.23 13:33;Strickhof;Hohrueti 2;1;77.25760377;2693689.071;1255312.957;33;10.05.23;4.51;0.547876923;204;1295.2
17.05.23 13:14;Strickhof;Hohrueti 2;3;88.9863442;2693710.903;1255227.255;34;17.05.23;5.506666667;0.968569231;211;1369.6
17.05.23 13:28;Strickhof;Hohrueti 2;2;85.4051378;2693697.684;1255265.437;34;17.05.23;5.406666667;0.620184615;211;1369.6
17.05.23 13:40;Strickhof;Hohrueti 2;4;86.33879987;2693692.697;1255292.826;34;17.05.23;4.866666667;0.422261538;211;1369.6
17.05.23 13:50;Strickhof;Hohrueti 2;1;62.74550952;2693685.197;1255312.858;34;17.05.23;4.84;0.492184615;211;1369.6
24.05.23 09:27;Strickhof;Hohrueti 2;3;82.45392474;2693714.56;1255240.739;35;24.05.23;;0.745107692;218;1469.8
24.05.23 09:51;Strickhof;Hohrueti 2;2;82.40531011;2693689.304;1255274.667;49;24.05.23;;;218;1469.8
24.05.23 10:11;Strickhof;Hohrueti 2;4;77.01648979;2693691.818;1255295.212;49;24.05.23;;0.530415385;218;1469.8
24.05.23 10:58;Strickhof;Hohrueti 2;1;81.13820896;2693691.338;1255315.174;49;24.05.23;;;218;1469.8
31.05.23 12:43;Strickhof;Hohrueti 2;3;71.94441179;2693708.109;1255240.754;60;31.05.23;6.28;0.808415385;225;1591.6
31.05.23 12:59;Strickhof;Hohrueti 2;2;79.01135982;2693689.702;1255277.134;59;31.05.23;5.676666667;0.712569231;225;1591.6
31.05.23 13:10;Strickhof;Hohrueti 2;4;77.71618376;2693689.872;1255299.115;59;31.05.23;6.16;;225;1591.6
31.05.23 13:20;Strickhof;Hohrueti 2;1;83.44308987;2693682.798;1255317.765;59;31.05.23;5.593333333;0.955953846;225;1591.6
10.03.23 09:52;Strickhof;Neuhof 3;4;42.83367518;2694052.247;1255182.153;26;10.03.23;;0.387053846;143;742.6
10.03.23 10:18;Strickhof;Neuhof 3;7;23.61912355;2694078.982;1255142.775;26;10.03.23;;0.324746154;143;742.6
10.03.23 10:50;Strickhof;Neuhof 3;5;42.88433687;2694074.713;1255195.303;25;10.03.23;;0.394746154;143;742.6
10.03.23 11:21;Strickhof;Neuhof 3;6;49.23012188;2694106.297;1255205.354;26;10.03.23;;0.256907143;143;742.6
10.03.23 12:58;Strickhof;Neuhof 3;1;33.70626944;2694027.205;1255284.514;26;10.03.23;;0.305121429;143;742.6
10.03.23 13:24;Strickhof;Neuhof 3;2;46.42106044;2694051.439;1255263.62;26;10.03.23;;0.360515385;143;742.6
10.03.23 13:45;Strickhof;Neuhof 3;3;35.65350442;2694071.215;1255245.536;26;10.03.23;;0.351669231;143;742.6
15.03.23 15:39;Strickhof;Neuhof 3;1;54.02533135;2694033.089;1255282.292;28;15.03.23;;0.257592308;148;772.6
15.03.23 15:53;Strickhof;Neuhof 3;2;38.43320996;2694046.94;1255266.956;28;15.03.23;;0.378207692;148;772.6
15.03.23 16:05;Strickhof;Neuhof 3;3;39.37504772;2694076.695;1255241.28;28;15.03.23;;0.232394872;148;772.6
15.03.23 16:20;Strickhof;Neuhof 3;6;52.84595254;2694108.661;1255205.419;28;15.03.23;;0.387438462;148;772.6
15.03.23 16:34;Strickhof;Neuhof 3;5;35.85812918;2694076.443;1255199.063;28;15.03.23;;0.398976923;148;772.6
15.03.23 16:46;Strickhof;Neuhof 3;4;38.62164658;2694048.859;1255184.052;28;15.03.23;;0.371669231;148;772.6
15.03.23 16:58;Strickhof;Neuhof 3;7;37.17328609;2694069.705;1255155.145;28;15.03.23;;0.223592308;148;772.6
22.03.23 15:28;Strickhof;Neuhof 3;1;62.50275663;2694026.88;1255279.495;32;22.03.23;;0.185053846;155;838.1
22.03.23 15:45;Strickhof;Neuhof 3;2;57.36556191;2694044.659;1255265.661;32;22.03.23;1.781924892;0.1559;155;838.1
22.03.23 15:58;Strickhof;Neuhof 3;3;48.82231033;2694068.092;1255243.077;32;22.03.23;;0.198976923;155;838.1
22.03.23 16:12;Strickhof;Neuhof 3;6;60.05822327;2694113.184;1255210.096;32;22.03.23;;0.238784615;155;838.1
22.03.23 16:26;Strickhof;Neuhof 3;5;57.7689214;2694064.833;1255209.024;32;22.03.23;;0.208592308;155;838.1
22.03.23 16:39;Strickhof;Neuhof 3;4;57.52888746;2694051.171;1255186.153;32;22.03.23;;0.175169231;155;838.1
22.03.23 16:53;Strickhof;Neuhof 3;7;64.03497139;2694072.083;1255149.143;32;22.03.23;;0.215515385;155;838.1
29.03.23 14:15;Strickhof;Neuhof 3;1;51.09694995;2694027.491;1255284.412;33;29.03.23;;0.280284615;162;895.1
29.03.23 14:29;Strickhof;Neuhof 3;2;69.30036506;2694051.278;1255267.798;33;29.03.23;;0.237669231;162;895.1
29.03.23 14:41;Strickhof;Neuhof 3;3;49.45605871;2694070.256;1255245.362;33;29.03.23;;0.149284615;162;895.1
29.03.23 14:53;Strickhof;Neuhof 3;6;41.0798689;2694109.612;1255211.232;33;29.03.23;;0.211669231;162;895.1
29.03.23 15:05;Strickhof;Neuhof 3;5;57.18748619;2694073.047;1255201.87;32;29.03.23;;0.198746154;162;895.1
29.03.23 15:29;Strickhof;Neuhof 3;7;61.05049667;2694070.065;1255144.828;33;29.03.23;;0.148630769;162;895.1
05.04.23 14:25;Strickhof;Neuhof 3;1;74.49033133;2694034.406;1255279.801;31;05.04.23;2.951197214;0.155630769;169;941.8
05.04.23 14:37;Strickhof;Neuhof 3;2;59.34789838;2694045.757;1255268.2;31;05.04.23;2.531136681;0.165130769;169;941.8
05.04.23 14:47;Strickhof;Neuhof 3;3;73.73904632;2694071.659;1255244.644;31;05.04.23;;0.253861538;169;941.8
05.04.23 14:57;Strickhof;Neuhof 3;6;72.92670105;2694111.193;1255201.675;31;05.04.23;2.570264337;0.232015385;169;941.8
