lr,hidden_size,hidden_layer,batch_size,optim,criterion,Test_RMSE,Test_MAE,Test_R2,slope,int,Test_rmselow
0.01,8,1,4,Adam,MSE,1.2843584773947474,1.0224125488745694,-0.03291870911723804,0.6060559020934556,0.8452240259898198,0.8417557561796434
0.01,8,1,4,Adam,L1,1.677669516887963,1.4271727650283637,-0.7624080084243607,0.22894640525559512,2.0816284669691405,0.9229986901111902
0.01,8,1,4,SGD,MSE,2.0761290285731047,1.7304127012717845,-1.6989964431078568,0.4832850354202842,0.6629370866921933,1.1440346301802353
0.01,8,1,4,SGD,L1,2.430671915240045,2.1050631587385307,-2.6995279830807775,0.09205347883853371,1.9314812403196384,1.2604666995666014
0.01,8,1,8,Adam,MSE,1.8644462396792965,1.6567914845271658,-1.1766738561959493,0.3644160656066063,1.262873134759431,1.4132429228141479
0.01,8,1,8,Adam,L1,1.634131800843905,1.4015472102103361,-0.6721213566603863,0.35889117364471984,1.740744775618566,1.1070377864429635
0.01,8,1,8,SGD,MSE,2.34413174536993,1.940971277682553,-2.440786006155929,0.16560623524114323,1.7802050941634344,1.171807412988394
0.01,8,1,8,SGD,L1,2.3755032168099075,2.110524818663625,-2.53349821527434,0.2772602238774977,1.0216374170349054,1.4921825259363515
0.01,8,1,16,Adam,MSE,2.001203035806343,1.6656379446639047,-1.5077020595939192,0.5708107858641844,0.3390318912158044,1.3483292974608672
0.01,8,1,16,Adam,L1,1.4838444870510832,1.2654996476362264,-0.37870199991507114,0.396841611836354,1.7149272088842078,1.1052507961505542
0.01,8,1,16,SGD,MSE,2.048617564641797,1.7857785271611584,-1.6279398135568073,0.2975268233112501,1.3893991859836157,1.2617069713826004
0.01,8,1,16,SGD,L1,2.415772925216873,2.1501618709315515,-2.6543138993623403,0.421091952304037,0.3291602514493134,1.7955140095780717
0.01,8,2,4,Adam,MSE,1.8793170526007617,1.5867357753966265,-1.2115346058786471,0.5043656121667517,0.5668129520194495,0.9562990095225027
0.01,8,2,4,Adam,L1,1.8197935153200469,1.5423916119804963,-1.0736614631168173,0.5114098941675419,0.5922180152136043,0.8808110367434976
0.01,8,2,4,SGD,MSE,2.5953044568299486,2.2407406473205667,-3.217647266259326,0.4470662149748598,1.0659419006530422,1.857062640604165
0.01,8,2,4,SGD,L1,2.7905747226874418,2.4152085195760287,-3.8761936281499,0.06596131631658911,1.6070652209657903,1.29775939780645
0.01,8,2,8,Adam,MSE,2.1321215842691323,1.8036789789796126,-1.8465417895880982,0.24872436472105064,1.430989643704206,0.7871367097635069
0.01,8,2,8,Adam,L1,1.549455228887018,1.2005900170494819,-0.5033208969724539,0.6916725938293324,0.46542813867215327,0.8936033293425919
0.01,8,2,8,SGD,MSE,2.1390493990349433,1.847635634097332,-1.8650701442459012,0.1724675403742167,1.9501210864991168,1.143451150408906
0.01,8,2,8,SGD,L1,2.1093377781733893,1.7625662455692463,-1.7860306660434189,0.5347696615923659,0.40198629255177926,1.2064565263051297
0.01,8,2,16,Adam,MSE,2.1212613255133466,1.8156722639988045,-1.8176171280902267,0.1696419832486027,1.7734615333503188,0.8801064546166153
0.01,8,2,16,Adam,L1,1.9280745974394662,1.6460874972697352,-1.3277765895288751,0.34770763723522563,1.3709426699007887,1.034605360389493
0.01,8,2,16,SGD,MSE,2.0932074532334317,1.7562855282097092,-1.7435834567031727,0.5876811117011598,0.09449432560767032,1.2089117388746362
0.01,8,2,16,SGD,L1,2.1828373576422955,1.8383478951563226,-1.9835710616718263,0.23125061597058053,1.6082689738031841,1.0211771321566157
0.01,8,3,4,Adam,MSE,1.8952157653236303,1.6390669545581535,-1.2491113197937538,0.42614198574494716,1.3289057870093473,1.222345627246144
0.01,8,3,4,Adam,L1,1.914616451103389,1.6234587815028352,-1.2953937934114559,0.5032751811861796,0.5689691553145471,0.9611135201756293
0.01,8,3,4,SGD,MSE,2.2246907141466563,1.9088904477139048,-2.099080909134707,0.2810795378279161,2.270484340880526,1.2987352718601914
0.01,8,3,4,SGD,L1,2.0176265559975652,1.6798336925590591,-1.5490314948340265,0.3570775675314418,1.3149860626286523,1.2571836519730502
0.01,8,3,8,Adam,MSE,1.915720763063177,1.6415544843688947,-1.298042430256234,0.3451611874039072,1.4854539830141544,1.249604629672697
0.01,8,3,8,Adam,L1,2.1874749458061373,1.8621209822223992,-1.9962621329233747,0.120055826064492,2.0161683541076028,0.9383909616361863
0.01,8,3,8,SGD,MSE,2.2360580451643775,1.949824230897376,-2.1308320913847156,0.27844974428024666,1.7193915311221006,1.5456940384296063
0.01,8,3,8,SGD,L1,2.338267415177025,1.9964530557569455,-2.4235918653383686,0.3945565520652049,1.0384789820370504,1.3145308367167376
